area,area_title,occCode,occTitle,jobs_1000,h_mean, a_mean , a_pct25 , a_median , a_pct75 , a_pct90 ,Rent50_3,Rent50_4,county,county_town_name,pop2010,state_alpha,ratio
16820,"Charlottesville, VA",15-1132,"Software Developers, Applications",6.004,39.56,82290,67710,80860,94640,114210,1351,1533,3,Albemarle County,98970,VA,0.2004946822
41100,"St. George, UT",15-1132,"Software Developers, Applications",2.196,39.54,82240,54300,65830,102620,163730,1100,1413,53,Washington County,138115,UT,0.2005164818
13900,"Bismarck, ND",15-1132,"Software Developers, Applications",4.916,31.83,66200,55300,64020,76010,89410,1071,1264,15,Burleigh County,81308,ND,0.2007497657
27500,"Janesville, WI",15-1132,"Software Developers, Applications",1.831,32.24,67060,42730,61940,89260,105350,1037,1099,105,Rock County,160331,WI,0.2009041007
46140,"Tulsa, OK",15-1132,"Software Developers, Applications",2.97,35.73,74320,47420,63540,87640,112590,1066,1188,143,Tulsa County,603403,OK,0.2013220019
46700,"Vallejo-Fairfield, CA",15-1132,"Software Developers, Applications",1.514,50.82,105710,92230,108700,120770,129210,1824,2169,95,Solano County,413344,CA,0.2013615455
75700,"New Haven, CT",15-1132,"Software Developers, Applications",3.33,44.12,91780,66930,90740,117520,142570,1523,1690,9,New Haven town,129779,CT,0.2014106238
47220,"Vineland-Millville-Bridgeton, NJ",15-1132,"Software Developers, Applications",0.744,43.71,90920,71000,86930,108570,122070,1460,1830,11,Cumberland County,156898,NJ,0.2015414701
22020,"Fargo, ND-MN",15-1132,"Software Developers, Applications",5.725,31.37,65250,51350,63410,77050,94040,1067,1262,17,Cass County,149778,ND,0.2019239868
14020,"Bloomington, IN",15-1132,"Software Developers, Applications",1.634,34.58,71930,57910,68390,85170,99130,1155,1467,105,Monroe County,137974,IN,0.2026612078
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division",15-1132,"Software Developers, Applications",5.293,45.7,95060,76920,95910,117540,138930,1623,1938,99,Palm Beach County,1320134,FL,0.2030653738
36740,"Orlando-Kissimmee-Sanford, FL",15-1132,"Software Developers, Applications",4.089,41.36,86030,62950,81250,103140,132490,1380,1670,95,Orange County,1145956,FL,0.2038153846
42340,"Savannah, GA",15-1132,"Software Developers, Applications",0.754,38.38,79830,57640,71020,92250,115920,1218,1444,51,Chatham County,265128,GA,0.2058011828
45820,"Topeka, KS",15-1132,"Software Developers, Applications",4.416,33.57,69820,53780,62740,85070,104450,1078,1309,177,Shawnee County,177934,KS,0.2061842525
17020,"Chico, CA",15-1132,"Software Developers, Applications",1.797,38.29,79650,56990,74910,95280,127240,1295,1606,7,Butte County,220000,CA,0.2074489387
76900,"Portsmouth, NH-ME",15-1132,"Software Developers, Applications",10.332,44.71,93000,80040,90140,106530,126040,1559,1627,17,Dover city,29987,NH,0.2075438207
41980,"San Juan-Caguas-Guaynabo, PR",15-1132,"Software Developers, Applications",0.605,25.19,52390,40400,50660,61070,74710,877,1055,127,San Juan Municipio,395326,PR,0.2077378602
29820,"Las Vegas-Paradise, NV",15-1132,"Software Developers, Applications",1.945,41.9,87150,75360,88030,99920,116710,1530,1816,3,Clark County,1951269,NV,0.2085652618
17860,"Columbia, MO",15-1132,"Software Developers, Applications",1.436,32.92,68470,50380,61110,85280,106510,1064,1286,19,Boone County,162642,MO,0.2089347079
19660,"Deltona-Daytona Beach-Ormond Beach, FL",15-1132,"Software Developers, Applications",1.085,32.37,67320,40020,73100,88920,101630,1273,1371,127,Volusia County,494593,FL,0.2089740082
12100,"Atlantic City-Hammonton, NJ",15-1132,"Software Developers, Applications",3.122,48.6,101080,74780,96710,120360,145720,1685,1959,1,Atlantic County,274549,NJ,0.2090786889
35084,"Newark-Union, NJ-PA Metropolitan Division",15-1132,"Software Developers, Applications",7.966,51.99,108140,79670,100490,128350,159140,1752,2002,13,Essex County,783969,NJ,0.2092148472
32780,"Medford, OR",15-1132,"Software Developers, Applications",1.252,37.33,77650,57960,73920,96830,119100,1289,1453,29,Jackson County,203206,OR,0.2092532468
39460,"Punta Gorda, FL",15-1132,"Software Developers, Applications",**,38.47,80020,60570,73850,101460,118920,1295,1300,15,Charlotte County,159978,FL,0.2104265403
20740,"Eau Claire, WI",15-1132,"Software Developers, Applications",2.277,33.52,69720,56130,66110,77400,101910,1163,1205,35,Eau Claire County,98736,WI,0.2111027076
24220,"Grand Forks, ND-MN",15-1132,"Software Developers, Applications",1.156,29.24,60820,50900,58690,70290,82460,1041,1254,35,Grand Forks County,66861,ND,0.2128471631
41500,"Salinas, CA",15-1132,"Software Developers, Applications",1.326,53.24,110740,82190,107540,134570,160510,1928,2156,53,Monterey County,415057,CA,0.2151385531
45104,"Tacoma, WA Metropolitan Division",15-1132,"Software Developers, Applications",2.572,43.1,89660,75770,87130,100150,118120,1563,1879,53,Pierce County,795225,WA,0.2152645472
44700,"Stockton, CA",15-1132,"Software Developers, Applications",0.417,44.01,91540,68900,80800,120570,142610,1453,1746,77,San Joaquin County,685306,CA,0.2157920792
72104,"Brockton-Bridgewater-Easton, MA NECTA Division",15-1132,"Software Developers, Applications",0.837,42.73,88880,70000,86070,108640,134240,1555,1647,23,Brockton city,93810,MA,0.2168002788
37860,"Pensacola-Ferry Pass-Brent, FL",15-1132,"Software Developers, Applications",2.912,33.64,69970,50120,66420,82000,102700,1200,1556,33,Escambia County,297619,FL,0.216802168
22660,"Fort Collins-Loveland, CO",15-1132,"Software Developers, Applications",7.107,36.81,76570,59090,77120,95360,119080,1401,1684,69,Larimer County,299630,CO,0.2179979253
41940,"San Jose-Sunnyvale-Santa Clara, CA",15-1132,"Software Developers, Applications",34.917,68.45,142370,111760,137710,166280, # ,2503,2837,85,Santa Clara County,1781642,CA,0.2181105221
42220,"Santa Rosa-Petaluma, CA",15-1132,"Software Developers, Applications",2.528,53.72,111740,88750,107340,133180,154080,1960,2297,97,Sonoma County,483878,CA,0.219116825
39100,"Poughkeepsie-Newburgh-Middletown, NY",15-1132,"Software Developers, Applications",4.409,44.89,93360,72800,91290,113650,134080,1672,1784,71,Orange County,372813,NY,0.2197831088
26980,"Iowa City, IA",15-1132,"Software Developers, Applications",10.931,35.29,73390,60450,72840,87420,100280,1335,1605,103,Johnson County,130882,IA,0.2199341021
14500,"Boulder, CO",15-1132,"Software Developers, Applications",22.597,51.23,106560,81150,101110,124290,152680,1857,2206,13,Boulder County,294567,CO,0.2203936307
11460,"Ann Arbor, MI",15-1132,"Software Developers, Applications",9.521,38.28,79630,64840,75970,93890,112600,1397,1810,161,Washtenaw County,344791,MI,0.2206660524
45940,"Trenton-Ewing, NJ",15-1132,"Software Developers, Applications",16.017,46.52,96760,76280,92510,113930,140180,1705,1971,21,Mercer County,366513,NJ,0.2211652794
71654,"Boston-Cambridge-Quincy, MA NECTA Division",15-1132,"Software Developers, Applications",11.526,54.15,112630,83560,106600,136210,167270,1970,2142,25,Boston city,617594,MA,0.2217636023
75404,"Nashua, NH-MA NECTA Division",15-1132,"Software Developers, Applications",10.134,45.44,94510,69030,91430,119840,148730,1696,1969,11,Nashua city,86494,NH,0.2225965219
31180,"Lubbock, TX",15-1132,"Software Developers, Applications",1.267,31.1,64700,48340,64240,77340,93210,1195,1377,303,Lubbock County,278831,TX,0.2232254047
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",15-1132,"Software Developers, Applications",4.879,44,91530,66190,83960,106610,129430,1562,1966,810,Virginia Beach city,437994,VA,0.2232491663
14540,"Bowling Green, KY",15-1132,"Software Developers, Applications",1.698,24.28,50500,28760,46810,69780,76870,875,1058,227,Warren County,113792,KY,0.2243110446
17780,"College Station-Bryan, TX",15-1132,"Software Developers, Applications",3.271,34.5,71750,57540,70440,85820,96380,1323,1586,41,Brazos County,194851,TX,0.2253833049
71650,"Boston-Cambridge-Quincy, MA-NH",15-1132,"Software Developers, Applications",10.234,52.87,109980,81510,104660,133630,162760,1970,2142,25,Boston city,617594,MA,0.2258742595
46340,"Tyler, TX",15-1132,"Software Developers, Applications",0.868,30.22,62860,38990,64620,82050,98530,1226,1235,423,Smith County,209714,TX,0.2276694522
29180,"Lafayette, LA",15-1132,"Software Developers, Applications",0.615,28.33,58930,41380,58320,72830,86350,1108,1370,55,Lafayette Parish,221578,LA,0.2279835391
16940,"Cheyenne, WY",15-1132,"Software Developers, Applications",2.397,30.92,64310,55420,61200,68710,76310,1169,1371,21,Laramie County,91738,WY,0.2292156863
13380,"Bellingham, WA",15-1132,"Software Developers, Applications",4.412,37.11,77190,55110,69920,90760,119590,1339,1496,73,Whatcom County,201140,WA,0.229805492
35644,"New York-White Plains-Wayne, NY-NJ Metropolitan Division",15-1132,"Software Developers, Applications",7.413,53.42,111120,83010,106710,135600,164390,2056,2304,47,Kings County,2504700,NY,0.2312060725
13460,"Bend, OR",15-1132,"Software Developers, Applications",2.936,34.45,71650,45530,61820,100090,116790,1202,1438,17,Deschutes County,157733,OR,0.2333225493
22380,"Flagstaff, AZ",15-1132,"Software Developers, Applications",1.544,36.7,76330,60330,71040,88070,113240,1383,1763,5,Coconino County,134421,AZ,0.2336148649
15980,"Cape Coral-Fort Myers, FL",15-1132,"Software Developers, Applications",1.29,34.81,72400,50050,65920,90460,122700,1293,1331,71,Lee County,618754,FL,0.2353762136
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",15-1132,"Software Developers, Applications",11.786,51.72,107570,81880,107980,134140,154290,2127,2671,59,Fairfax County,1081726,VA,0.2363771069
39820,"Redding, CA",15-1132,"Software Developers, Applications",0.559,40.92,85110,63800,75120,108290,125980,1484,1654,89,Shasta County,177223,CA,0.2370607029
42020,"San Luis Obispo-Paso Robles, CA",15-1132,"Software Developers, Applications",2.705,46.97,97690,74600,96150,122770,149100,1905,1987,79,San Luis Obispo County,269637,CA,0.2377535101
36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",15-1132,"Software Developers, Applications",8.012,58.27,121200,91870,119070,146040,170660,2370,2908,1,Alameda County,1510271,CA,0.238851096
41740,"San Diego-Carlsbad-San Marcos, CA",15-1132,"Software Developers, Applications",6.254,51.82,107780,86960,105880,127900,151660,2134,2600,73,San Diego County,3095313,CA,0.241858708
27060,"Ithaca, NY",15-1132,"Software Developers, Applications",2.632,38.65,80380,65550,83700,97250,114300,1687,1693,109,Tompkins County,101564,NY,0.2418637993
22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-1132,"Software Developers, Applications",2.773,42.31,88000,68330,89090,108250,121760,1797,2232,11,Broward County,1748066,FL,0.2420473678
31100,"Los Angeles-Long Beach-Santa Ana, CA",15-1132,"Software Developers, Applications",4.578,49.9,103790,81170,102170,124750,149190,2061,2296,37,Los Angeles County,9818605,CA,0.242067143
42140,"Santa Fe, NM",15-1132,"Software Developers, Applications",3.881,34.71,72190,55560,68710,78320,107080,1389,1485,49,Santa Fe County,144170,NM,0.2425847766
33540,"Missoula, MT",15-1132,"Software Developers, Applications",2.173,35.85,74560,38160,62480,95640,155450,1283,1585,63,Missoula County,109299,MT,0.2464148528
23540,"Gainesville, FL",15-1132,"Software Developers, Applications",3.741,31.19,64870,44990,60620,82050,100420,1247,1621,1,Alachua County,247336,FL,0.2468492247
70900,"Barnstable Town, MA",15-1132,"Software Developers, Applications",1.214,43.9,91310,68200,79610,115560,129410,1649,1732,1,Barnstable Town city,45193,MA,0.2485617385
21340,"El Paso, TX",15-1132,"Software Developers, Applications",1.346,32.57,67750,41520,54490,89430,120750,1151,1381,141,El Paso County,800647,TX,0.2534777023
34940,"Naples-Marco Island, FL",15-1132,"Software Developers, Applications",2.038,33.16,68980,44520,64710,83010,106570,1424,1753,21,Collier County,321520,FL,0.2640704682
28740,"Kingston, NY",15-1132,"Software Developers, Applications",0.527,32.02,66590,53980,67390,79070,90950,1487,1722,111,Ulster County,182493,NY,0.2647870604
42100,"Santa Cruz-Watsonville, CA",15-1132,"Software Developers, Applications",3.937,48.9,101710,75070,100390,126880,151030,2217,2473,87,Santa Cruz County,262382,CA,0.2650064747
38940,"Port St. Lucie, FL",15-1132,"Software Developers, Applications",1.051,33.18,69020,50120,60990,92380,102490,1356,1598,111,St. Lucie County,277789,FL,0.2667978357
37100,"Oxnard-Thousand Oaks-Ventura, CA",15-1132,"Software Developers, Applications",2.463,49.29,102520,76440,98300,131170,149300,2192,2537,111,Ventura County,823318,CA,0.2675890132
72400,"Burlington-South Burlington, VT",15-1132,"Software Developers, Applications",4.856,37.51,78020,65120,76890,92320,106600,1717,2016,7,Burlington city,42417,VT,0.2679672259
35840,"North Port-Bradenton-Sarasota, FL",15-1132,"Software Developers, Applications",3.13,34.36,71460,46310,59720,95910,125690,1355,1591,115,Sarasota County,379448,FL,0.2722705961
11260,"Anchorage, AK",15-1132,"Software Developers, Applications",1.13,39.37,81890,62010,78140,98250,120920,1796,2159,20,Anchorage Municipality,291826,AK,0.275812644
34900,"Napa, CA",15-1132,"Software Developers, Applications",0.49,44.69,92950,69750,91610,114370,139430,2187,2195,55,Napa County,136484,CA,0.2864752756
42060,"Santa Barbara-Santa Maria-Goleta, CA",15-1132,"Software Developers, Applications",4.673,41.72,86780,64710,80040,104690,134370,1918,2220,83,Santa Barbara County,423895,CA,0.2875562219
41860,"San Francisco-Oakland-Fremont, CA",15-1132,"Software Developers, Applications",12.911,57.06,118690,87440,114700,144320,173130,2915,3524,75,San Francisco County,805235,CA,0.3049694856
41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",15-1132,"Software Developers, Applications",17.538,56.54,117610,85970,112570,143390,174120,2915,3524,75,San Francisco County,805235,CA,0.310739984
35004,"Nassau-Suffolk, NY Metropolitan Division",15-1132,"Software Developers, Applications",2.706,43.2,89860,64920,83860,114000,142580,2286,2632,103,Suffolk County,1493350,NY,0.3271166229
33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-1132,"Software Developers, Applications",2.923,33.94,70600,55910,62150,76360,103320,1722,2012,86,Miami-Dade County,2496435,FL,0.3324859212
72850,"Danbury, CT",15-1132,"Software Developers, Applications",3.126,39.98,83160,50830,71810,90730,134520,2112,2672,1,Danbury town,80893,CT,0.3529313466
29020,"Kokomo, IN",15-1133,"Software Developers, Systems Software",**,48.67,101230,92270,106520,116040,121750,947,1034,67,Howard County,82752,IN,0.1066841908
17420,"Cleveland, TN",15-1133,"Software Developers, Systems Software",0.86,46.33,96370,78670,95400,112380,123610,872,1123,11,Bradley County,98963,TN,0.1096855346
31340,"Lynchburg, VA",15-1133,"Software Developers, Systems Software",2.948,44.85,93290,75670,96810,114810,126660,897,1034,680,Lynchburg city,75568,VA,0.1111868609
23060,"Fort Wayne, IN",15-1133,"Software Developers, Systems Software",0.921,47.36,98500,77910,97450,120090,141580,905,1025,3,Allen County,355329,IN,0.111441765
21060,"Elizabethtown, KY",15-1133,"Software Developers, Systems Software",0.905,45.59,94840,76550,100410,115000,124180,934,1123,93,Hardin County,105543,KY,0.1116223484
19140,"Dalton, GA",15-1133,"Software Developers, Systems Software",1.825,43.9,91320,77390,101350,111720,117940,955,1190,313,Whitfield County,102599,GA,0.1130735076
13780,"Binghamton, NY",15-1133,"Software Developers, Systems Software",4.542,53.17,110580,82310,109560,139470,160040,1042,1182,7,Broome County,200600,NY,0.1141292442
26620,"Huntsville, AL",15-1133,"Software Developers, Systems Software",12.796,51.1,106280,79380,105800,132910,152610,1015,1073,89,Madison County,334811,AL,0.1151228733
20260,"Duluth, MN-WI",15-1133,"Software Developers, Systems Software",0.828,47.23,98230,70680,95380,122030,153050,971,1081,137,St. Louis County,200226,MN,0.1221639757
79600,"Worcester, MA-CT",15-1133,"Software Developers, Systems Software",4.211,53.69,111670,91090,123560,140450,150570,1258,1375,27,Worcester city,181045,MA,0.1221754613
47380,"Waco, TX",15-1133,"Software Developers, Systems Software",1.711,50.6,105250,81630,103070,129010,154600,1052,1176,309,McLennan County,234906,TX,0.1224798681
28660,"Killeen-Temple-Fort Hood, TX",15-1133,"Software Developers, Systems Software",0.798,52.83,109880,88590,111260,131810,145350,1164,1321,27,Bell County,310235,TX,0.1255437713
48700,"Williamsport, PA",15-1133,"Software Developers, Systems Software",**,41.66,86650,80820,89080,97350,117450,935,958,81,Lycoming County,116111,PA,0.1259541985
49660,"Youngstown-Warren-Boardman, OH-PA",15-1133,"Software Developers, Systems Software",0.301,39.79,82760,68450,81420,96020,114880,865,914,99,Mahoning County,238823,OH,0.1274871039
37900,"Peoria, IL",15-1133,"Software Developers, Systems Software",1.51,46.98,97710,74270,93140,115470,145100,997,1197,143,Peoria County,186494,IL,0.128451793
20500,"Durham-Chapel Hill, NC",15-1133,"Software Developers, Systems Software",9.436,53.69,111670,89940,108240,130490,152680,1162,1361,63,Durham County,267587,NC,0.1288248337
36780,"Oshkosh-Neenah, WI",15-1133,"Software Developers, Systems Software",**,40.72,84710,70870,84320,98140,113200,907,1206,139,Winnebago County,166994,WI,0.1290796964
24660,"Greensboro-High Point, NC",15-1133,"Software Developers, Systems Software",1.005,44.93,93450,78120,96020,114260,132930,1034,1166,81,Guilford County,488406,NC,0.1292230785
40220,"Roanoke, VA",15-1133,"Software Developers, Systems Software",2.334,45.38,94400,72720,93170,114850,141700,1005,1139,770,Roanoke city,97032,VA,0.1294408071
19340,"Davenport-Moline-Rock Island, IA-IL",15-1133,"Software Developers, Systems Software",0.64,43.42,90320,71380,90440,109700,136280,976,1028,163,Scott County,165224,IA,0.1295002211
43580,"Sioux City, IA-NE-SD",15-1133,"Software Developers, Systems Software",0.542,46.6,96930,80100,89880,99610,118050,981,1102,193,Woodbury County,102172,IA,0.1309746328
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",15-1133,"Software Developers, Systems Software",4.871,50.68,105410,84700,106710,124360,146080,1168,1448,119,Mecklenburg County,919628,NC,0.1313466404
12020,"Athens-Clarke County, GA",15-1133,"Software Developers, Systems Software",0.459,43.76,91030,78950,95530,111530,121210,1047,1179,59,Clarke County,116714,GA,0.1315188946
19780,"Des Moines-West Des Moines, IA",15-1133,"Software Developers, Systems Software",2.135,49.84,103680,87800,103620,119700,139960,1140,1214,153,Polk County,430640,IA,0.1320208454
19380,"Dayton, OH",15-1133,"Software Developers, Systems Software",1.142,45.08,93760,74620,92350,115420,138620,1017,1140,113,Montgomery County,535153,OH,0.1321494315
41180,"St. Louis, MO-IL",15-1133,"Software Developers, Systems Software",1.456,49.46,102880,84510,102630,121520,144160,1131,1283,189,St. Louis County,998954,MO,0.1322420345
15180,"Brownsville-Harlingen, TX",15-1133,"Software Developers, Systems Software",0.238,43.06,89570,74140,87520,105670,120000,967,1074,61,Cameron County,406220,TX,0.1325868373
